"ChannelID","ChannelName"
"abc22wkef.us","USA ABC 22 WKEF DAYTON"
"abc24watn.us","USA ABC 24 WATN MEMPHIS"
"abc25wjxx.us","USA ABC 25 WJXX JACKSONVILLE"
"abc26wgno.us","USA ABC 26 (WGNO) New Orleans"
"abc28wfts.us","USA ABC 28 WFTS TAMPA"
"epg-usa-abc-2-katu-portland-e7a2df98","USA ABC 2 KATU PORTLAND"
"epg-usa-abc-portland-katu-d18784bf","USA ABC Portland KATU"
"epg-usa-abc-30-kdnl-st-louis-b08eb4f5","USA ABC 30 KDNL ST. LOUIS"
"epg-usa-abc-st-louis-kdnl-3d57e49a","USA ABC St Louis KDNL"
"abc30kfsn.us","USA ABC 30 KFSN FRESNO"
"epg-usa-abc-33-wytv-youngstown-968359cb","USA ABC 33 (WYTV) Youngstown"
"epg-usa-abc-68-wbma-birmingham-5de7b0fa","USA ABC 68 WBMA BIRMINGHAM"
"abc36wtvq.us","USA ABC 36 WTVQ LEXINGTON"
"abc3katc.us","USA ABC 3 (KATC) Lafayette"
"abc3keyt.us","USA ABC 3 (KEYT) Santa Barbara"
"abc7kabctv.us","USA ABC 7 KABC LOS ANGELES"
"abc7kmghtv.us","USA ABC 7 KMGH DENVER"
"abc7kvii.us","USA ABC 7 KVII Amarillo"
"abc7wlstv.us","USA ABC 7 WLS CHICAGO"
"abc7wxyz.us","USA ABC 7 WXYZ DETROIT"
"ABC8WFAA.us","USA CBSN Dallas"
"epg-usa-abc-8-wfaa-dallas-19b51849","USA ABC 8 WFAA DALLAS"
"epg-usa-abc-dallas-wfaa-442085ab","USA ABC Dallas WFAA"
"abc9kmbc.us","USA ABC 9 KMBC KANSAS CITY"
"abc9wtvm.us","USA ABC 9 WTVM Columbus"
"epg-au-abc-comedy-brisbane-ff0a523a","AU ABC Comedy Brisbane"
"epg-au-abc-comedy-perth-18572dc7","AU ABC Comedy Perth"
"epg-au-abc-comedy-sydney-abb3db44","AU ABC Comedy Sydney"
"epg-au-abc-comedy-adelaide-33b6dcce","AU ABC Comedy Adelaide"
"epg-au-abc-comedy-canberra-4035320e","AU ABC Comedy Canberra"
"epg-au-abc-comedy-darwin-7cd1ad91","AU ABC Comedy Darwin"
"epg-au-abc-comedy-hobart-ef3ae3b7","AU ABC Comedy Hobart"
"abccomedyabckids.au","AU ABC Kids National"
"abckatv.us","USA ABC 7 KATV Little Rock"
"abckesq.us","USA ABC 3 (KESQ) Palm Springs"
"epg-usa-abc-13-omaha-kmtv-1095e622","USA ABC 13 Omaha (KMTV)"
"epg-usa-abc7-ketv-omaha-67950c3c","USA abc7 KETV Omaha"
"epg-usa-abc-20-kofy-san-francisco-6cb0956c","USA ABC 20 KOFY SAN FRANCISCO"
"epg-usa-abc-7-san-francisco-kgo-f27626b3","USA ABC 7 San Francisco (KGO)"
"epg-usa-abc-10-kgtv-san-diego-b39f912f","USA ABC 10 KGTV SAN DIEGO"
"epg-usa-abc-san-diego-kgtv-c64e7c37","USA ABC San Diego KGTV"
"abckitv.us","USA ABC 4 KITV HONOLULU"
"abckjud.us","USA ABC Juneau KJUD"
"abckmiz.us","USA ABC 6 WSYX COLUMBUS"
"abcknvx.us","USA ABC 15 KNXV PHOENIX"
"epg-usa-abc-4-komo-seattle-d02f7f50","USA ABC 4 KOMO SEATTLE"
"epg-usa-abc-seattle-komo-c6acd6a5","USA ABC Seattle KOMO"
"epg-usa-abc-12-ksat-san-antonio-63b553d3","USA ABC 12 KSAT SAN ANTONIO"
"epg-usa-abc-san-antonio-ksat-ae9ee13a","USA ABC San Antonio KSAT"
"abckstp.us","USA ABC Saint Paul KSTP"
"abcktnv.us","USA ABC13 (KTNV) Las Vegas"
"epg-usa-abc-4-ktvx-salt-lake-city-5c25ef10","USA ABC 4 KTVX SALT LAKE CITY"
"epg-usa-abc-salt-lake-city-ktvx-9a5ff463","USA ABC Salt Lake city KTVX"
"abckvue.us","USA ABC 24 KVUE AUSTIN"
"epg-usa-abc-10-kxtv-sacramento-4a31600d","USA ABC 10 KXTV SACRAMENTO"
"epg-usa-abc-sacramento-kxtv-2b6b9047","USA ABC Sacramento KXTV"
"epg-au-abc-me-melbourne-c8e36c4f","AU ABC ME Melbourne"
"abcme.au","AU ABC ME National"
"epg-au-abc-melbourne-c6069884","AU ABC Melbourne"
"abcnews.au","AU: ABC News"
"ABCNews24.au","AU ABC NEWS Hobart"
"epg-usa-abc-7-wabc-new-york-39c68dcc","USA ABC 7 WABC NEW YORK"
"epg-usa-abc-new-york-sd-7f114b4a","USA ABC New York SD"
"epg-usa-abc-new-york-uhd-0c63e080","USA ABC New York UHD"
"abcwate.us","USA ABC 6 WATE KNOXVILLE"
"abcwbay.us","USA ABC 2 WBAY GREEN BAY"
"abcwbko.us","USA ABC 13 WBKO Bowling Green"
"abcwbrz.us","USA ABC2 (WBRZ) Baton Rouge"
"abcwcpo.us","USA ABC 9 WCPO CINCINNATI"
"epg-usa-abc-5-wcvb-boston-1e4e1e84","USA ABC 5 WCVB BOSTON"
"epg-usa-abc-boston-wcvb-6aa7a0fe","USA ABC Boston WCVB"
"abcwday.us","USA abc6 (WDAY) Fargo"
"abcwdhn.us","USA abc18 (WDHN) Dothan"
"abcwear.us","USA ABC 3 WEAR PENSACOLA"
"epg-usa-abc-5-wews-cleveland-2789ef52","USA ABC 5 WEWS CLEVELAND"
"epg-usa-abc-5-cleveland-wews-372633ec","USA ABC 5 Cleveland WEWS"
"epg-usa-abc-9-wftv-orlando-4bc493be","USA ABC 9 WFTV ORLANDO"
"epg-usa-abc-orlando-wftv-ca7e8df6","USA ABC Orlando WFTV"
"epg-usa-abc-12-wisn-milwaukee-ee3b137e","USA ABC 12 WISN MILWAUKEE"
"epg-usa-abc-milwaukee-wisn-fc6074d2","USA ABC Milwaukee WISN"
"abcwivt.us","USA abc34 WIVT Binghamton"
"epg-usa-abc-7-wjla-washington-dc-f6a7fe7c","USA ABC 7 WJLA WASHINGTON DC"
"epg-usa-abc-washington-3d7a2a6c","USA ABC Washington"
